canonical_product_id,product_code,item_id,category,name_nutrition,category_nutrition,match_confidence,match_method
efb068a0381a4996,23632,943865,cantina-chicken-menu,Cantina Carne Asada Fajita Grilled Soft Taco,Test Items,1.1,rule
916687c670fe85a5,23633,943866,cantina-chicken-menu,Cantina Chicken Fajita Quesadilla,Test Items,1.1,rule
3cf225e88ac0859c,23634,943873,cantina-chicken-menu,Cantina Carne Asada Fajita Quesadilla,Test Items,1.1,rule
d76b08767319830c,23635,943868,cantina-chicken-menu,Cantina Chicken Fajita Bowl,Test Items,1.1,rule
8cd70b81e4acda29,23636,943869,cantina-chicken-menu,Cantina Carne Asada Fajita Bowl,Test Items,1.1,rule
3f992e2fc6ec36e2,23613,852977,cantina-chicken-menu,Cantina Chicken Double Tostada,Test Items,1.0,rule
32862a6fa0db724a,23612,852977,cantina-chicken-menu,Cantina Chicken Double Tostada,Test Items,1.0,rule
ac73bb7b66dbe118,26156,423321,cantina-chicken-menu,Cantina Chicken Quesadilla,Cantina Chicken Menu,1.1,rule
ba64a15d5d0f8d27,26159,423320,cantina-chicken-menu,Cantina Chicken Crispy Taco,Cantina Chicken Menu,1.1,rule
5052d8cb4167db9d,26160,423325,cantina-chicken-menu,Cantina Chicken Burrito,Cantina Chicken Menu,1.1,rule
170e79ece1a10c2e,26158,423321,cantina-chicken-menu,Cantina Chicken Quesadilla,Cantina Chicken Menu,1.1,rule
